指数代码,指数名称,发布日期,开盘指数,最高指数,最低指数,收盘指数,成交量(亿股),成交额(亿元)
801010,农林牧渔,2022-12-30,3253.40,3296.01,3234.87,3294.77,15.57,148.35
801010,农林牧渔,2022-12-29,3266.05,3266.28,3240.52,3245.19,14.48,138.50
801010,农林牧渔,2022-12-28,3311.69,3323.70,3265.95,3270.94,18.94,193.43
801010,农林牧渔,2022-12-27,3253.04,3328.59,3252.78,3328.59,23.36,230.50
801010,农林牧渔,2022-12-26,3262.44,3276.29,3237.81,3254.09,19.70,184.74
801010,农林牧渔,2022-12-23,3252.48,3264.55,3212.10,3227.40,17.34,160.02
801010,农林牧渔,2022-12-22,3235.47,3303.84,3235.45,3261.43,17.50,188.47
801010,农林牧渔,2022-12-21,3179.92,3257.53,3171.57,3222.37,14.89,157.47
801010,农林牧渔,2022-12-20,3242.18,3250.60,3175.82,3181.76,14.61,150.81
801010,农林牧渔,2022-12-19,3316.37,3316.37,3242.51,3248.90,18.15,189.16
801010,农林牧渔,2022-12-16,3316.39,3332.32,3289.81,3331.75,13.63,149.67
801010,农林牧渔,2022-12-15,3361.98,3378.11,3323.30,3333.32,16.34,181.59
801010,农林牧渔,2022-12-14,3348.35,3365.32,3331.21,3363.84,16.59,186.07
801010,农林牧渔,2022-12-13,3285.06,3372.86,3280.03,3358.47,21.91,240.64
801010,农林牧渔,2022-12-12,3285.00,3310.85,3263.99,3276.75,14.21,158.80
801010,农林牧渔,2022-12-09,3311.98,3311.99,3262.80,3305.43,15.08,173.46
801010,农林牧渔,2022-12-08,3384.39,3384.39,3304.61,3313.47,17.81,208.99
801010,农林牧渔,2022-12-07,3368.31,3436.09,3368.31,3401.64,20.27,242.83
801010,农林牧渔,2022-12-06,3350.19,3406.24,3350.19,3373.45,19.77,234.29
801010,农林牧渔,2022-12-05,3354.24,3366.78,3332.18,3355.04,18.70,208.61
801010,农林牧渔,2022-12-02,3294.93,3347.96,3285.71,3332.74,17.77,207.24
801010,农林牧渔,2022-12-01,3268.88,3299.08,3268.88,3289.32,17.44,195.54
801010,农林牧渔,2022-11-30,3218.64,3287.61,3218.62,3248.26,16.98,182.36
